[10:46:51] Starting Speech Recognition
[10:47:05] Understood:  Has a robot ever killed a person?
[10:47:05] Looking for similar questions...
	LD	Question
	34	what is the hero's name in the legend of zelda
	52	what are the names of the ghosts who chase pac man and ms. pac man
	40	what's the name of the mythbusters' crash test dummy
	28	what is an oxford comma
	52	who was the captain of the enterprise in the pilot episode of star trek
	33	what is the symbol for the modulus operator in c
	62	what function is automatically called at the beginning of a c plus plus program
	53	which computer programming languages was introduced by ibm in 1957
	32	who is considered as the first programmer
	3	has a robot ever killed a person
	29	who was hitchbot
	28	are self-driving cars safe
	28	who invented the compiler
	37	who created the python programming language
	25	is mark zuckerberg a robot
	28	why did you run away
	30	what kind of salad do robots like
	27	what did you ate for lunch
	25	why did robots get angry so often
	30	why shouldn't r2d2 be allowed in movies
	27	what's your favorite style of music
	27	what does the acronym smtp represent
	27	what does the acronym mpeg represent
	27	what does the acronym gimp represent
	27	what does the acronym gnu represent
	32	what is the most populous city in brazil
	29	which continent is brazil located in
	45	on what day month and year was brazil's independence declared
	39	how many states does brazil have with federal district
	43	in what year did the first brazilian astronaut go to space
	43	what is the only capital of brazil crossed by the equator
	30	how many time zones are there in brazil
	70	in which city is the world's first urban elevator and what is the name of that elevator
	54	what is the only biome present in brazil that is exclusive in the world
	43	pampulha lake is a tourist spot in which brazilian city
	47	what is the smallest brazilian state in territorial extension
	42	which capitals in brazil have the same name as your state
	32	where is the itamaraty palace located
	40	what was the first name given to brazil by the portuguese
	35	acaraje is a typical food from which state
	43	pico da neblina can be found in which brazilian state
	41	pao de acucar is located in which brazilian capital
	27	what is the newest state in brazil
	27	what is the oldest state in brazil
	27	what is the capital of ceara
	31	what is the capital of rio grande do sul
	32	what is the capital of rio grande do norte
	27	what is the capital of brazil
	28	what is the capital of pernambuco
	26	what is the capital of para
[10:47:06] Question: Has a robot ever killed a person?
[10:47:06] Answer: The first known case of robot homicide occurred in 1981, when a robotic arm crushed a Japanese Kawasaki factory worker
